,1,,,,2,,,,3,,,,4,,,,5,,,,,,,
Prompt-rating,"Imagine you’re a pedestrian about to cross the street. Looking at the automated vehicle in the image. There are ten images in this group, you need rate these images from 0 (I would certainly not cross) to 100 (I would certainly cross) for how likely you are to cross the road in each scenario. ",,,,"Imagine you are crossing the road. On a scale from 0 (I will certainly not cross the road) to 100 (I will certaninly cross the road), Are you willing to cross the road in this situation? Please give the answers like Image 10: rating: 25",,,,Imagine you are crossing the road  in a hurry. Rank your sense of safety from 0 (unsafe) to 100 (very safe),,,,"Imagine you’re a pedestrian about to cross the street. There are ten images in this group, you need to rate each image by entering a value from 0 (I would certainly not cross) to 100 (I would certainly cross) for how likely you are to cross the road in each scenario, and give out answers like Image 10: rating: 25",,,,"Imagine you are crossing the road. Looking at the automated vehicle in the image. There are ten images in this group. On a scale from 0 (I will certainly not cross the road) to 100 (I will certaninly cross the road), how willingly are you to cross the road in every image.",,,,,,,
Prompt-ranking,"Imagine you’re a pedestrian about to cross the street. Looking at the automated vehicle in the image. There are ten images in this group, you need rank these images from 1 (I would certainly not cross) to 10 (I would certainly cross) for how likely you are to cross the road in each scenario.",,,,"Imagine you are crossing the road. Rank them from 1 (I will certainly not cross the road) to 10 (I will certaninly cross the road), Are you willing to cross the road in this situation?",,,,Imagine you are crossing the road  in a hurry. Rank these images together from 0 (unsafe) to 10 (very safe),,,,"Imagine you’re a pedestrian about to cross the street. There are ten images in this group, you need to rank each image by entering a value from 1 (I would certainly not cross) to 10 (I would certainly cross) for how likely you are to cross the road in each scenario.		",,,,"Imagine you are crossing the road. Looking at the automated vehicle in the image. There are ten images in this group. Rank the image from 1 (I will certainly not cross the road) to 10 (I will certaninly cross the road), how willingly are you to cross the road in every image.			",,,,,,,
,Rating,,Ranking,,Rating,,Ranking,,Rating,,Ranking,,Rating,,Ranking,,Rating,,Ranking,,Actual crowd soursing,Ranking Crowd Soursing,,
AFTER YOU,90,-15.1573,10,-1,90,-15.1573,10,0,90,-15.1573,9,0,95,-20.1573,,9,90,-15.1573,10,-1,74.8427,9,,
BRAKE,70,-13.34902,8,-1,85,-28.34902,8,-1,85,-28.34902,8,-1,75,-18.34902,,7,85,-28.34902,8,-1,56.65098,7,,
CAR SLOWS DOWN. YOU CAN CROSS THE STREET SAFELY NOW,100,-20.00003,9,1,100,-20.00003,10,0,100,-20.00003,10,0,100,-20.00003,,10,100,-20.00003,9,1,79.99997,10,,
I WON'T PROCEED,95,-34.00003,7,1,90,-29.00003,9,1,80,-19.00003,7,1,85,-24.00003,,8,85,-24.00003,3,5,60.99997,8,,
I WON'T STOP,0,15.99997,1,0,0,15.99997,1,0,0,15.99997,1,0,0,15.99997,,1,0,15.99997,1,0,15.99997,1,,
I WON'T WAIT,10,13.99997,2,0,10,13.99997,2,1,0,23.99997,1,1,0,23.99997,,2,10,13.99997,2,0,23.99997,2,,
I WOULD LIKE TO CONTINUE MY DRIVE,40,-15.50003,3,1,20,4.49997,4,2,20,4.49997,2,2,10,14.49997,,4,20,4.49997,4,0,24.49997,4,,
